（西皮摇板）, 二弟 惊慌 为 哪般
（西皮摇板）, 产生 怪物 真 奇巧   丈夫 回来 问 根苗
（西皮摇板）, 二弟 生来 心肠 狠   要害 三 弟 为何 情
（西皮摇板）, 家中 奉 了 爹爹 命   收齐 账目 转 家门   无心 观看 路旁 景   不觉 来到 自家 门
（西皮摇板）, 恼恨 二 弟 心肠 狠   要害 三 弟 为何 情   急急忙忙 西山 奔
（西皮摇板）, 只 见 猛虎 吓 煞人
（西皮摇板）, 这 是 上苍 有 恩典   生下 一 子 接 香烟
（西皮摇板）, 娘子 莫 要 走 风声   卑人 有言 你 是 听   三 弟 要 你 多 照应   门户 早晚 要 小心
（西皮摇板）, 官人 不 必 细 叮咛   嘱咐 的 言语 记 在心   三 弟 自有 我 照应   寄托 亲生 要 小心   门户 自有 我 照应   见 了 那 舅父 代 问 安宁
（西皮摇板）, 卑人 此番 出 门庭   见 了 二弟要 谨慎   倘若 二 老 将 我 问   你 就说 下乡 收租 未 回 家门   辞别 了 贤妻 奔 路径   舅父 家中 走 一程
（西皮摇板）, 一 见 儿夫 出 门庭   反 把 三 弟 当 亲生   将计就计 心放稳   但愿 官人 早 回程
（西皮摇板）, 适才 阵前 大 交兵   文 豹 武艺 果然 能   进 得 帐 去 把 罪请   只得 低头 降 他人   将 身且 把 宝帐进   元帅 台前 请 罪名
（西皮流水板）, 多 蒙 元帅 开 恩典   下 邦 焉能 失 前言   我 今兵 败 回国 转   年年 进贡叩 天 颜   辞别 元帅 我 就 跨雕鞍
（西皮摇板）, 含羞 带愧 离 边关
（西皮摇板）, 我 主爷 洪福齐天 降   扫灭 番邦 拱手 降   此番 回 朝 把 本上   龙 书案 前奏 君王
（二黄原板）, 独坐 在 皇宫 院 娇 颜 美容   蒙 君王 宠信 奴 独 掌 西宫   御园 中 满 珊瑚 邀幸 耀荣   楼 与 台亭 与 阁 千叶 花红   内 侍臣 摆 御驾 宫庭来进   宣 郭槐上 金殿 朝贺 圣 君
（西皮摇板）, 中秋 佳节 风光 好   陪 王伴驾 乐 逍遥
（西皮摇板）, 内侍 摆驾 玉宸宫进   酒席 筵前 见机行
（二黄原板）, 我 主爷 坐江山 人称 有道   普天下 众 庶民 快乐 逍遥   但愿 得 四下里 狼烟 俱 扫   但愿 得 我 主爷 福寿 安劳   叫 宫娥 摆 御驾 宫院 来到   候陈琳到 宫廷 细问 根苗
（二黄摇板）, 内侍 摆驾 玉宸宫进   二 梓童 迎 驾 朝见 寡人
（二黄摇板）, 忙 拜谢 万岁爷 后宫 来进   仁义 主 可 算得 有道 明君
（二黄摇板）, 接过 收生 旨 一道
（二黄摇板）, 回到 宫中 再 做 计较
（西皮摇板）, 哀家 宫中 把 旨 降   叮咛 的 言语 记 心 旁   机密 大事 少 言 讲
（西皮快板）, 背 转身 来自 参详   这 才 是 大 祸从天降   宫中 平白 起 祸殃   刘妃 她 把 良心丧   寇珠 岂 能 反复 无常   见 事 行事 随 驾往   但愿 得 宫中 无事 谢 上苍
（二黄摇板）, 郭槐 可算 有志量   管 叫 李妃丧 无常
（二黄摇板）, 眼 又 花 腹内 痛 叫 奴 难忍   但愿 得 早 产生 答谢 神灵
（二黄摇板）, 心内 恨 带 笑容 玉宸宫进   见 了 那 李 皇姐 细说 分明
（二黄摇板）, 疼痛 一 阵 实 难言   想 是 临盆 在 眼前   一霎时 腹内 疼 两 眼 昏花
（二黄摇板）, 昏昏 沉沉 眼 无光   再 与 御妹 问 端详
（二黄导板）, 一霎时 不由 我 魂飞 天外
（二黄摇板）, 大料 我 命 残生 不 能 保全
（二黄摇板）, 含悲 忍泪 宫门口   看 是 何人 把 情求
（二黄摇板）, 霎时 一 阵 归 阴界   三 魂 渺渺 又 回还
（二黄摇板）, 这 才 是 大 祸从天降
（二黄摇板）, 平白无故 起 祸殃   谢罢万 岁出 宫往   刘妃 为何 喜洋洋
（内西皮导板）, 抱龙盒 止 不 住 泪 似 雨 降
（西皮摇板）, 寇承御 平白 地 身 遭 祸殃
（西皮摇板）, 远望 皇宫 身 拜倒   拜谢 我 主 爵禄 高   狠心肠 我 只得 河内 跳
（西皮摇板）, 又 恐 太子 无下梢
（西皮二六板）, 寇珠心 中 甚 焦躁   点点 珠泪 往下 抛   刘妃
（西皮摇板）,候 陈琳 他 到来 再作 计较
（西皮摇板）, 适才 万 岁 传 御诏   奉命 齐 下 九 重霄   一 步 来 在 御花园 道
（西皮摇板）, 只 见 寇珠哭 嚎啕
（西皮摇板）, 陈 公公 他 问 我 一旦 事往   寇承御背 转身 自己 参详   千言万语 话 难 讲   走漏风声 大祸 难当   低下 头 来讲 是 不讲
（西皮顶板）, 有 什么 心腹事 何必 泪 伤悲   想 人生 受 父母 娇生惯养   为 儿女 必须 要 孝顺 爹娘   虽然 是 在 皇宫 荣华 来享   吃珍 酒 穿 绫罗 一 人 之下 万人之上
（西皮摇板）, 除非 是 公公 你 愿 现 天良
（高拨子顶板）, 耿耿
（高拨子顶板）, 将胆 放大 奏 圣上
（高拨子顶板）, 公公 主见 解 愁肠   怕 的 是 应 得 之罪 小 犯上
（高拨子顶板）, 那 时节
（高拨子顶板）, 久闻 公公 有 胆量
（高拨子顶板）, 纵然 权高 也 要 亡
（高拨子顶板）, 辞别 公公 抽身 往
（高拨子摇板）, 还有 一 事 作 商量
（西皮流水板）, 寇承御 跪在 地 留平   过往 神灵 听 分明   我 若是 走漏 了 这 风声
（西皮摇板）, 高挂 悬梁 七 尺绫
（西皮摇板）, 一 见 寇珠 把 誓盟   不由 我 陈琳才 放心   走向 前来 忙搀定
（西皮摇板）, 你 保 太子 出宫庭
（西皮原板）, 先 皇祖 创业 立锦象   普天下 众 黎民 受尽 安康   到 如今 我 兄 王江山 执掌   全 凭着 文武 臣 保定 家邦   将 身儿 坐 至 在 南 清宫 上   受 荣华 和 富贵 快乐 晓扬
（西皮摇板）, 适才 宫门 来 盘问   吓 得 陈琳胆 战 惊   将 身且 站 宫门 等
（西皮摇板）, 不知 何人叩 宫门
（西皮摇板）, 辞别 千 岁出 宫门   忠臣 保主 不辞心
（西皮摇板）, 内侍 后宫 一 声 请   请出狄 娘娘 说 分明
（西皮摇板）, 宫廷 金龙 盘 玉柱   画 阁 雕楼 帝 王府
（西皮摇板）, 刘妃
（西皮摇板）, 已往 之 事 莫 声张   本御 有言 听 端详   且 将 太子 好好 抚养   到 日后 本 御自 有 主张
（西皮摇板）, 这 也 是 哀家 有 福分   天降 太子接 后 根
（西皮摇板）, 内侍 摆驾 后宫 进
（西皮摇板）, 再 与 梓童 把 话 明
（西皮摇板）, 辞别 爹娘 出 门庭   以往 的 事儿 才 得 明
（西皮摇板）, 当年 夜 梦 对 你 论   谁 叫 你 做事 不 小心   我 今见 妖怪 气 难忍   日后 定要 败坏 门庭
（西皮摇板）, 带领 娇儿 回家 往   爹娘 台前 说 端详
（西皮摇板）, 二嫂 家中 对 我 讲   命 我 后山 去 放羊   迈步 且 把 山冈 上   游玩 一 番 散 心肠
（西皮摇板）, 家中 领了 爹爹 命   收取 租米 转 回程   雨过天晴 往家 奔
（西皮摇板）, 只 听得 后山 有 人 声
（二黄原板）, 恨李妃产 生下 妖魔 怪样   幸喜 得 降 太子 接代 后 香   内侍 臣 摆驾 金銮殿 上   宣 上 了 刘 娘娘 朝见 孤 王
（二黄原板）, 忽听 得 万岁爷 把 旨 来 降   因此 上领 太子 离 了 昭阳   叫 宫娥 摆王 驾 金殿 以上   品级 台见圣君 问 驾 安康
（西皮原板）, 万岁爷 御花园 把 旨 来 降
（西皮原板）, 与 娘娘 演 歌舞 消遣 一场
（西皮原板）, 叫 寇珠 将 驾 忙忙 逞上
（西皮摇板）, 御花园 中散 心肠
（西皮导板）, 听说 太子丧 了 命
（西皮摇板）, 怎不 叫 奴痛 在心
（西皮摇板）, 将 身且 坐 皇宫 院   可叹 李妃难 周全
（西皮摇板）, 忽听 内侍 一 声 请   急忙 上前 问 分明
（西皮摇板）, 这 才 是 苍天 有 报应   举目 三 尺 有 神灵
（西皮摇板）, 可叹 皇儿 把 命丧   锦绣 江山 付 汪洋   独坐 宫廷 长 思想   可叹 宋 室 绝后 香
（西皮摇板）, 眼望 朝政 无 人掌   怎 不 叫 孤 痛 悲伤
（二黄导板）, 见 灵堂 不由 孤 泪流 脸上
（二黄原板）, 实 可叹 我 的 儿无人 奉养   实可 叹 我 的 儿命丧 无常   实可 叹 锦绣 江山 无人 执掌   实可 叹 我 的 儿 秋千 丧命
（二黄原板）, 劝 皇兄 休得 要 泪 似 雨 降   御弟言 来 听 端详   皇 侄儿 秋千 把 命丧   哪 有 个人 死后 又 能 还阳
（二黄原板）, 贤 王 把 话 错 来讲   皇姐 有 话 听 端详   小 皇儿 不 是 你 亲生 所 养   你 为何 在 灵堂 言语 癫狂
（二黄原板）, 舌尖 三 寸 把 人 伤   话 到 嘴边 难 收场   先前 的 事儿 想 一 想   暗室 亏心 有 上苍
（二黄原板）, 有 陈琳开 言 把 话 讲
（二黄原板）, 你 劝 君王 我 劝 娘娘
（二黄原板）, 万事 须要 心中 想   花 开 哪有 百 日 光   皇宫 院 比 不得小家 的 气象   求贤爷
（二黄原板）, 哪 有 个人 死 又 能 还阳   求 娘娘 你 不必 悲 声 放   保重 凤体莫 要 伤   自古道
（二黄原板）, 真宗 开 言 把 话 讲   万事 须要 看 孤王   众卿 休得悲
（同二黄原板）, 声放
（二黄摇板）, 搀扶 娘娘 回 昭阳
（二黄摇板）, 含悲 忍 泪 回 宫往   怎 不 叫人 两 泪 汪
（二黄摇板）, 内侍 摆驾 金殿 上   再 与 御弟 说 端详
（西皮摇板）, 独坐 宫院心 烦闷   想起 太子 泪双淋
（二黄摇板）, 这 是 哀家 天 注定   冷宫 之内 受 苦情
（二黄摇板）, 独坐 在 寒 宫内 珠 泪 滚滚   但 不 知 何日 里 才 得 脱身
（二黄摇板）, 痛 肝肠 不由 我 珠 泪 垂掉   看见 她 想起 了 我 母 劬劳   见 此 情 叫 小王 心中 好 恼
（二黄摇板）, 劝 殿下 休得 要悲声 过高
（二黄摇板）, 待 等 那 老 王爷 龙归 海岛   那时 节判 冤情
（二黄摇板）, 不 杀谗 臣 不 掌 朝
（西皮摇板）, 承继 太子 事 奇巧   终 朝 每 日 挂心 肠
（西皮摇板）, 刘 娘娘 在 宫中 五刑 来拷   寇承御 并不 知 罪犯 何 条   求 娘娘 开 天恩 将 奴饶了
（西皮摇板）, 你 叫我 寇承御 拿 什么 话 招
（内西皮导板）, 忽听 得 娘娘 将 我 宣诏
（西皮摇板）, 为什么 将 寇珠 三 打 六 招
（西皮快板）, 刘 娘娘 在 宫中 旨意 传 了   只 吓 得 小 陈琳胆 颤心 摇   我 只得 进 皇宫 双膝 跪倒
（西皮散板）, 刘 娘娘 在 宫中 驾 可 安好
（西皮快板）, 有 陈琳跪 皇宫 一 言 禀告   尊 一 声 刘 娘娘 细 听 根苗   储 王公三 殿下 谁 人 不 晓   苦苦 地 问 奴婢 所为 哪条
（西皮导板）, 刘 娘娘 传下 了 旨意 一道
（西皮快板）, 她 命 我 上前 去 拷打 娇娇   有 陈琳 在 皇宫 衣襟 脱了
（西皮摇板）, 尊 一 声 刘 娘娘 细 听 根苗
（西皮导板）, 刘 娘娘 在 宫中 五刑 来拷
（西皮摇板）, 她 将 我 寇承御 三 打 六 招   耳边 厢 又 听得 陈琳 来到
（西皮快板）, 叫 一 声 陈 公公 细 听 根苗   前 十 年 保 太子你
（西皮快板）, 你 不 知晓
（西皮摇板）, 今日 里 纵 一 死 也 不 承 招
（西皮摇板）, 听 一言不由 我 哈哈 地 大笑   寇承御 可 算得 女中 英豪
（西皮快板）, 刘 娘娘 传下 了 旨意 二道   叫 陈琳 百般 地 拷打 娇娇   我 只得 昧良心 将 她 来拷
（西皮摇板）, 骂 一 声 小 陈琳 把 良心 丧了   百般 地 拷打 我 所为 哪 条   前 十 年 保 太子你
（西皮摇板）, 你 也 知晓
（西皮摇板）, 今日 里 我 一 死 你 也 难逃
（西皮摇板）, 内 侍臣 摆 驾进 宫院
（西皮摇板）, 见 了 万岁 说 一番
（西皮摇板）, 手不释卷 勤 功课   只 为 严父 太 苛责   但愿 苍天 不 负 我   鱼跃龙门 早 登科
（西皮摇板）, 丢下 经书 去 散闷
（西皮摇板）, 安步当车 行 一程
（西皮摇板）, 叹 人生 好 一 似 梦幻泡影   奴 本 是 名门 女 沦落 娼门   十六 岁 好 年华 遭 此 厄运   但 不 知 何日 里 脱离 风尘
（西皮摇板）, 烟花 总要 讲 酬应   未必 他 心似 我心   轻 移 莲 步出 房门
（西皮摇板）, 见 了 公子 把 礼行
（西皮摇板）, 今见 大姐 三 生 幸
（西皮摇板）, 改日 造访 再 登门
（西皮摇板）, 好 一 个 郑丽春 品貌 出众   却 不 想 沦落 在 风尘 之中   携 带来 三万 银 院内 使用   遇 机缘 搭救 她 逃脱 樊笼
（西皮原板）, 昨日 里 王公子 院中 散闷   一杯茶 便 用 了 三百 纹银   未知 他 是 一 个 何等 情性   倒 叫 我 一 阵阵 将 口 问心
（西皮摇板）, 重 聚首 再 相见 喜 之 不尽   问 大姐 今 已 是 几何 芳龄
（西皮摇板）, 三 杯 美酒 添 春 兴
（西皮摇板）, 细看 公子 美 仪形
（西皮摇板）, 大姐 容颜 称 雅俊
（西皮摇板）, 谬赞 多 承 三 舍人
（西皮摇板）, 今日 金龙 甚 有幸
（西皮摇板）, 方遇 多情多义 人
（西皮摇板）, 指天指地 为 盟证
（西皮摇板）, 愿效 鸳鸯 不 离 分
（西皮摇板）, 玉堂 春 后 花园 去 把 雪踏   我 等候 那 金 哥 来 送 梅花
（西皮散板）, 忘 八
（西皮摇板）, 三 郎 音信 全 无 有   九 转 柔肠 愁 上 愁
（西皮摇板）, 一 步 紧 似 一 步 走   悄悄 来到 南北楼
（西皮摇板）, 假 做 病痛 装模样   准备 庙 内 会 三 郎
（西皮摇板）, 三百 纹银 拿 在手
（西皮摇板）, 关王 庙 内 把 香酬   金哥 引路 头 前走
（西皮摇板）, 绿 瓦 红墙 映 双眸
（西皮摇板）, 见三郎失 丰采 面目 清瘦   可怜 你 数九 天 街头 飘流
（西皮散板）, 屋 漏 又 逢 连 阴雨   船迟 偏 遇 顶头 风
（西皮散板）, 纵然 淘尽 湘江水   难 洗 今朝 羞愧容
（西皮摇板）, 天 已 初 更 人 寂静   哪里 传来 哭泣声
（西皮摇板）, 声音 谙熟 心惊 震   莫非 三 郎转 回程
（西皮散板）, 深情 厚 义 令 人 感
（西皮散板）, 休得 迟疑 速南旋
（西皮散板）, 两 情 脉脉 心 眷恋
（西皮散板）, 一心 专候 月 团圆
（西皮摇板）, 忘 八
（西皮流水板）, 公子 不 与 亲笔信   此 事 教 我 好 担心   轻 移 莲 步出 房门
（西皮流水板）, 上 了 香车趱路 行   道路 不知 远 和 近
（西皮流水板）, 远望 不 是 公子 形   苏 三 心 下 拿不稳
（西皮摇板）, 但愿 苍 天相吉人
（西皮摇板）, 男儿 无情 怀 二意   女子 何须 必从一
（西皮摇板）, 春锦 前面 看 仔细   见 了 娘子 笑嘻嘻
（西皮摇板）, 你 我 交杯 来 对饮
（西皮摇板）, 愿 与 娘子 不 离 分
（二黄原板）, 想 当初 遇 公子 何等 欢畅   到 如今 遭 诓骗 远涉 异乡   困居 在 洪洞县 朝思暮想   苦 无 计出 罗网 去 寻三郎
（二黄散板）, 当初 曾 有 银 三万
（二黄散板）, 若问余 零 是 六千
（二黄散板）, 如今 不见三郎面   身边 无 有 半 文钱
（二黄散板）, 忽听 得 唤 苏 三 我 心惊胆战   吓 得 我 战 兢兢 不 敢 向前   无奈何 走 向前 把 礼 来 见   问 老伯 呼唤 我 所 为 哪般
（反二黄慢板）, 崇老伯 他 对 我 述说 一 遍   想起 了 王金龙 负义 儿男   我 这里 进 庙 去 叩头 拜见   尊 一 声 狱 神爷 细 听 我 言   保佑 我 与 三 郎 重见 一 面   得 生时 修 庙宇 再 塑 金颜
（西皮流水板）, 行将 离 却 洪洞县   将 身来 在 大街 前   未 曾 开 言 泪 满面   过往 君子 听 我 言   哪位 去往 南京 转   与 我 三 郎 把 信传   就说 苏 三 薄命 短   来生 结草 并 衔环
（西皮流水板）, 人言 洛阳 花似 锦   偏 奴 到 来不 遇春   悲切切 出 了 洪洞 县城
（西皮摇板）, 老伯 不 走 为何 情
（西皮导板）, 玉堂 春 含 悲泪 忙 往 前进
（西皮慢板）, 想起 了 当年 事 好不 伤情
（西皮原板）, 一 恨 那 无情 舅父 心 太 狠   大不 该 将 甥女 卖 入娼门
（西皮原板）, 二 恨 山西 沈延 林   他 不 该 用 银钱 为 我 赎身
（西皮原板）, 三 恨 皮 氏 狗 贱人   她 不该 用 药面 毒死 夫君
（西皮原板）, 四 恨 丫鬟 小春 锦   她 不该 勾引 赵 监生
（西皮原板）, 五 恨 赃官 王 县令
（西皮原板）, 六 恨 那 众 衙役 分 了 赃银
（西皮原板）, 七 恨 李虎 非刑狠   八 恨 那 赵 书吏 改 了 招呈
（西皮摇板）, 胸中 填满 千 般 恨   洪洞县 内 无 有 好人
（西皮流水板）, 一 句 言语 错 出唇   爹爹 一旁 把 气生   我 只得 走 向前 把 好言 奉 敬
（西皮摇板）, 唯有 我 老 爹爹
（西皮摇板）, 但愿 得 遇 包 文正   一 载 沉冤 早 剖明
（西皮散板）, 父女 沿途 把 话 论   官府 腌臜害 平民   太原 城池 已 临近   九 死 还 望 求 一生
（西皮散板）, 来 在 都察院   举目 朝上 观   两 旁 的 刀斧手   吓 得 我 胆 战 又 心寒   苏 三 此 一 去 好 有 一 比
（西皮散板）, 好比 那 羊 入 虎口 有 去 无 还
（西皮散板）, 王金龙 仔细 来 观看   堂 下 分明 是 苏 三   一霎时 不由 我 神魂 迷乱
（西皮导板）, 玉堂春跪 至 在 都察院
（西皮慢板）, 玉堂春本 是 公子 取的名
（西皮慢板）, 当时 只有 七 岁 整
（西皮慢板）, 在 院中 住 了 整 九 春
（西皮慢板）, 十六 岁 结识 的 是 那 王
（西皮慢板）, 啊啊 啊啊
（西皮慢板）, 王公子 啊
（西皮慢板）, 他 本 是 礼部 堂上 三 舍人
（西皮慢板）, 初 见面 赠 银 三百 两   吃 一 杯 香茶 就 动身
（西皮原板）, 公子 二 次 把 院进   随 带来 三万六千 银
（西皮原板）, 在 院中 未到 一 年 整   花 尽 了 三万六千 银
（西皮原板）, 南北 二 楼 公子 造   还有 那 玉石 的 栏杆 与 那 翡翠屏
（西皮原板）, 鸨儿 待 他 心忒狠
（西皮原板）, 数九寒天 将 公子 他 赶出 了 院门
（西皮原板）, 公子 一 怒 出 了 院   关 王 庙 内 暂 把 身 存
（西皮原板）, 那 一 日 金哥报 一 信   奴 在 北楼 装病 形   手帕 包银 三百 两   关 王 庙 内 会 一会 情人
（西皮原板）, 万 种 的 离情 诉不尽   在 周仓 足下 叙 一 叙 寒 温
（西皮原板）, 公子 落得 长街 讨饭
（西皮原板）, 吏部 堂 上去 巡更
（西皮原板）, 公子 三 次 进了院   拐带 银两 转 回 南京
（西皮二六板）, 打发 公子 回原 郡   我 二 人 对 天 把 誓盟   公子 立志 不 另娶   玉堂 春 至死 不 嫁人
（西皮流水板）, 那 一 日 梳妆来 照镜   在 楼下 来 了 沈延 林   他人 口中夸 豪富   蔑却 公子 王金龙   奴 在 楼上 高声 骂   只 骂 得 延 林 脸 绯红
（西皮流水板）, 含羞 带 恨 出 了 院   与 鸨儿 定计 娶奴身
（西皮流水板）, 作媒 的 银子 三百 两   鸨儿 到手 一 斗 金
（西皮流水板）, 鸨儿 逼迫 奴不允   才 将 假 书 诓骗 人   说是 公子 得 高中   得 中 了 黄 榜 第一 名   奴 正在 将 疑 又 将 信   又 谁 知 一 马 就 到 洪洞
（西皮流水板）, 在 洪洞 住 了 一 年 整   皮 氏 贱人 起 毒心   一 碗 药面 付 奴手   奴 回手 付与 沈延 林   他 也 不解 其 中计   吃 下 一 口 哼 一 声   昏昏迷迷 倒在地   七 孔 流血 命 归阴
（西皮流水板）, 皮氏 出门 高声 喊   她 道犯妇 谋 害人   惊动 乡约 和 地保   拉拉扯扯 到 了 公庭
（西皮流水板）, 头 堂 官司 问 得好
（西皮摇板）, 他 就 变了心
（西皮流水板）, 王 知县 受贿 一千 两
（西皮流水板）, 阖衙 分赃 八百 银
（西皮流水板）, 上堂 打我 四十 板
（西皮流水板）, 无情 拶子 我 难 受刑
（西皮流水板）, 犯妇 本当 不 招认   我 的 大 老爷   皮鞭 打断 有数 根
（西皮流水板）, 在 监中 住 了 一 年 整
（西皮流水板）, 并 无 有 一 人 探望 奴 的 身
（西皮流水板）, 忘 八
（西皮流水板）, 犯妇 哪 有 那 知心 的 人
（西皮流水板）, 王公子 一 家 多 和顺   他 与 奴 露水 夫妻 有的 什么 情
（西皮流水板）, 眼前 若 有 王公子   青纱罩 脸 我 也 认得 清
（西皮散板）, 若 与 公子 见 一 面   纵 死 黄泉 也 甘心
（西皮摇板）, 苏 三 堂 前 把 话 论   句句 不差 半 毫分   本当 下位 将 她 认
（西皮摇板）, 王法 条条 不 徇情   进退 维谷 难 坏 我
（西皮摇板）, 此 案 交与 刘 大人
（西皮二六板）, 这 一 堂 官司 未 动刑   玉堂 春 才 得 放宽 心   出 得 案 院 回头看
（西皮快板）, 这 大人 好似 三 舍人   是 公子 就 该 将 我来认
（西皮快板）, 王法 条条 不 徇情   上前 去 说 几 句 知心话   看他 知情 不 知情
（西皮摇板）, 玉堂 春 好比 花中蕊
（西皮快板）, 王公子 好比 采花蜂   想 当初 花开多 茂盛   他 好比 蜜蜂 儿 飞来 飞去 采 花心   到 如今 不见我那三
（西皮摇板）, 三公子   花谢 时 怎不 见 那 蜜蜂 儿行
（西皮散板）, 悲切切 哭出 了 都察院   恼恨 那 公子 太 无情
（二黄摇板）, 乔装改扮 出 察院   女监 之内 探苏三
（二黄散板）, 忽听 前面 一 声 唤   不 知 有 谁 来 探监
（二黄散板）, 只 说 今生 不 能见   谁 知 相会 在 牢监
（二黄散板）, 薄命 之 人 何足恋   急速 出 监莫 迟延
（二黄散板）, 假装 疯癫 出监门
（二黄散板）, 你 是 何人通 姓名
（西皮摇板）, 两 情 坚贞 堪 景仰   成人 之美 理 应当
（西皮摇板）, 催马 加鞭 察 院往
（西皮摇板）, 察院 平冤法 申张
（西皮散板）, 苏 三 出 了 都察院   奸夫 淫妇 列 两边
（西皮散板）, 自作 自受 休 埋怨   明正典刑 在 眼前
（数板）, 我 在 洪洞 当 皂班
（西皮搖板）, 父母 养 我 败家 精
（西皮搖板）, 吃穿 嫖赌 样样 能
（西皮摇板）, 急急忙忙 往前 进
（西皮摇板）, 约 了 金龙 去 寻开心
（西皮搖板）, 移步 来 在 王府门
（西皮摇板）, 见 了 金龙 说 分明
（同西皮摇板）, 喜气洋洋 出 门庭
（西皮摇板）, 勾栏 院 中会 美人
（西皮摇板）, 三 脚 两 步 往前 进
（西皮摇板）, 不觉 来到 妓院 门
（西皮摇板）, 烟花 总要 将 酬应   未必 他 心是 我心   轻轻 稳步 出 房门   见 了 公子 把 礼行
（西皮摇板）, 兴辞 美人 出 院门
（同西皮摇板）, 改日 再 来 会 美人
（西皮摇板）, 自幼 生来 命儿 贫   贩卖 鲜花 度 光阴
（西皮摇板）, 捧定 鲜花 寻 路径   勾栏 院中 送人情
（西皮摇板）, 见 苏 三 只 觉得 神魂 不定   恨不能 娶家 来 才 称 我心
（西皮摇板）, 王金龙 看上 了 苏 三 美人
（西皮摇板）, 一杯茶 花去 了 三百 两 纹 银
（西皮摇板）, 预祝 公子 喜气 生
（西皮摇板）, 趁此机会 做 冰人
（西皮摇板）, 带走 三万六千 银   娶 个 美人 配 婚姻
（西皮摇板）, 自 那日 王公子 院中 散闷   一杯茶 便 用 了 三百 两 纹 银   未知 他 是 一 个 何等 的 性情   不由 我 一 阵阵 将 口 问心
（西皮摇板）, 喜气洋洋 进 房门   见 了 苏 三 叙 闲文
（西皮摇板）, 心想 美人 魂离身   见 了 苏 三 讲 爱情
（西皮摇板）, 此 去 北京贩 皮货   你 在 家中 不要 缺德
（西皮原板）, 良宵 一 刻 值 千金
（西皮原板）, 公子 溺爱 奴 的 身
（西皮原板）, 但愿 你 我 永同枕
（西皮原板）, 海枯石烂 不 变心
（西皮摇板）, 捧定 鲜花 上 楼门   三 姑娘 面前 献殷勤
（西皮摇板）, 多谢 公子 赏 纹银
（西皮摇板）, 见 了 公子 把 话 云
（西皮摇板）, 可叹 我 一 家 人 被 火 丧命   只 落得 孤单单 片瓦无存
（西皮摇板）, 勾栏 院中 闹 盈盈   钞票 愈 多 愈 欢迎
（西皮摇板）, 家中 犯了 天 火星   烧 得 我 家财 干 干净   急急忙忙 往前 进
（西皮摇板）, 满面 含羞 难 把 话 云
（西皮摇板）, 好 一 个 狠 毒妇 天良 丧尽   无故地 要 将 我 赶出 院门   哭 一 声 三 姐 快来 救应
（西皮摇板）, 公子 为何 大放悲声
（西皮摇板）, 关王 庙 内 许愿 信   保佑 王公子 早成名
（西皮摇板）, 可恨 鸨儿 心肠 狠   反而 打骂 不 留情   哭 一 声 三 姐姐 难得 见   我 那 亲爱 的 三 姐姐 吓
（西皮摇板）, 妈妈 为何 怒气生
（西皮摇板）, 家中 奉 了 母亲 命   关王 庙 内 还愿 信
（西皮摇板）, 手 捧 猪头 往前 奔   替代 母亲 把 香焚
（西皮流水板）, 王金龙 屈 双膝 跪 神 案前   尊 一 声 关圣 帝 细 听 我 言   但愿 得 与 苏 三 重 见 一面
（西皮摇板）, 修 庙宇 镀金 身 再 塑 神颜
（西皮摇板）, 只 为 母 病 回 愿信   猪头 三牲 供 神灵
（西皮摇板）, 王八
（西皮摇板）, 急急忙忙 把 院进   见 了 苏 三 报 喜信
（西皮摇板）, 金哥 一 去 无 音信   盼 断 肝肠 两 泪 淋
（西皮摇板）, 听说 公子 庙 内 等
（西皮摇板）, 不见 公子 为何 情
（西皮摇板）, 一 见 公子 贫苦 形   怎 不 教人 泪涔涔
（西皮摇板）, 手扶 三 郎卸 衣襟   留神 细看虱 踪影   满身 肌肤 白如 银   日染 尘埃 有 数 层   扑鼻 秽气 实 难闻   还 念 恩爱夫妻情   不顾 肮脏 一心 奉承   到来 年 跳 龙门 金榜题名
（西皮原板）, 多 蒙 三 姐 情意 深   念 我 穷途 薄 命人   从此 发奋 图 上进   不 负 三 姐 一 片 心诚   霎时 想起 以往 情形   当面 诉说 你 我 的 恩情
（内西皮导板）, 捧定 银 包 赶 路程
（西皮摇板）, 前 不 把 店 后 不 把 村
（西皮摇板）, 急急忙忙 松林进
（西皮摇板）, 抬头 只 见 二 强人
（西皮摇板）, 夕阳 西 坠 月 东升   睡眼 惺忪 不 安宁
（西皮摇板）, 轻 移莲步 下 楼门   见 了 妈妈 问 原因
（西皮摇板）, 公子 高中 金榜 名   关王 庙 内 把 香焚
（西皮摇板）, 送与 鸨儿 一 斗 金   松林 之内 等 美人
（西皮摇板）, 车 声 辘辘 心 烦闷   不 见 那人 为何 情
（西皮摇板）, 夫妻 双双 赶 路程
（西皮摇板）, 皇天 佑 我 会 情人
（西皮摇板）, 我 丈夫 去往 北京城   死 在 外面 称 了 我 的 心
（西皮摇板）, 快马加鞭 到 家门   快 去 禀告 大 夫人
（西皮摇板）, 闲来无事 大街 走   吊 几 个 姑娘 揩揩油
（二黄摇板）, 来到 了 沈洪 家 一 年 光景   偏 遇着 凶悍妇 狠毒 成性   到 如今 染成 了 满身 疾病   恨不能 早日 里 脱离 世尘
（二黄摇板）, 心中 念着 玉堂春   私自 来 此 探 美人
（二黄摇板）, 我 夫君 死 阴曹 冤沉海底   又 遇着 糊涂 官 无从 说起   竹板 儿 打得 我 魂飞 天霁   三魂渺七魂荡跌跪 丹墀
